filename	tile_size	pattern_width	rotations	output_size	ground	attempt_limit	output_periodic	input_periodic	location heuristic	choice heuristic	global constraint	backtracking	attempts	time_start	time_adjacency	adjacency_duration	time solve start	time solve end	solve duration	pattern count	choices	wave	backtracks	propagations	outcome	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	None	True	7	1627596697.976154	1627596698.0622318	24.31503438949585	1627596722.3772662	None	0.0	13	1200	1200	1200	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	None	True	8	1627596697.976154	1627596698.0622318	24.31503438949585	1627596722.3772662	None	0.0	13	1200	1200	1200	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	None	True	9	1627596697.976154	1627596698.0622318	24.31503438949585	1627596722.3772662	None	0.0010020732879638672	13	1200	1200	1200	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	None	True	10	1627596697.976154	1627596698.0622318	24.316036462783813	1627596722.3782682	None	0.0	13	1200	1200	1200	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	None	True	1	1627596722.3792682	1627596722.465346	0.0010013580322265625	1627596722.4663475	None	24.316889762878418	13	1200	1200	1200	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	None	True	2	1627596722.3792682	1627596722.465346	24.318891286849976	1627596746.7842374	None	0.0	13	1200	1200	1200	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	None	True	3	1627596722.3792682	1627596722.465346	24.318891286849976	1627596746.7842374	None	0.0010008811950683594	13	1200	1200	1200	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	None	True	4	1627596722.3792682	1627596722.465346	24.319892168045044	1627596746.7852383	None	0.0	13	1200	1200	1200	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	None	True	5	1627596722.3792682	1627596722.465346	24.319892168045044	1627596746.7852383	None	0.0	13	1200	1200	1200	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	None	True	6	1627596722.3792682	1627596722.465346	24.32089400291443	1627596746.78624	None	0.0	13	1200	1200	1200	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	None	True	7	1627596722.3792682	1627596722.465346	24.32089400291443	1627596746.78624	None	0.0	13	1200	1200	1200	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	None	True	8	1627596722.3792682	1627596722.465346	24.32089400291443	1627596746.78624	None	0.0010004043579101562	13	1200	1200	1200	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	None	True	9	1627596722.3792682	1627596722.465346	24.32189440727234	1627596746.7872405	None	0.0	13	1200	1200	1200	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	None	True	10	1627596722.3792682	1627596722.465346	24.32189440727234	1627596746.7872405	None	0.0	13	1200	1200	1200	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	None	False	1	1627596746.7882407	1627596746.8753204	0.0010008811950683594	1627596746.8763213	None	24.329370260238647	13	1200	1200	0	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	None	False	2	1627596746.7882407	1627596746.8753204	24.331372261047363	1627596771.2066927	None	0.0	13	1200	1200	0	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	None	False	3	1627596746.7882407	1627596746.8753204	24.331372261047363	1627596771.2066927	None	0.0010018348693847656	13	1200	1200	0	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	None	False	4	1627596746.7882407	1627596746.8753204	24.332374095916748	1627596771.2076945	None	0.0	13	1200	1200	0	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	None	False	5	1627596746.7882407	1627596746.8753204	24.332374095916748	1627596771.2076945	None	0.0010004043579101562	13	1200	1200	0	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	None	False	6	1627596746.7882407	1627596746.8753204	24.333374500274658	1627596771.208695	None	0.0	13	1200	1200	0	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	None	False	7	1627596746.7882407	1627596746.8753204	24.333374500274658	1627596771.208695	None	0.0	13	1200	1200	0	2400	contradiction	
